service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2018/07/01 04:00:00+00,Rail,Red Line,5329350,5329350,21,6407474,6407474,31,387
2018/07/01 04:00:00+00,Bus,Silver Line,789279,789279,21,992776,992776,31,388
2018/07/01 04:00:00+00,The RIDE,The RIDE,125643,125643,21,157641,157641,31,389
2018/08/01 04:00:00+00,Rail,Blue Line,1518965,1518965,23,1823972,1823972,31,390
2018/08/01 04:00:00+00,Bus,Bus,7627749,7627749,23,8799709,8799709,31,391
2018/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2786013,2786013,23,2728907,2728907,31,392
2018/08/01 04:00:00+00,Ferry,Ferry,163576,163576,23,186413,186413,31,393
2018/08/01 04:00:00+00,Rail,Green Line,3988710,3988710,23,4778718,4778718,31,394
2018/08/01 04:00:00+00,Rail,Orange Line,4413265,4413265,23,5057984,5057984,31,395
2018/08/01 04:00:00+00,Rail,Red Line,5659742,5659742,23,6473801,6473801,31,396
2018/08/01 04:00:00+00,Bus,Silver Line,859521,859521,23,1030473,1030473,31,397
2018/08/01 04:00:00+00,The RIDE,The RIDE,137609,137609,23,164388,164388,31,398
2018/09/01 04:00:00+00,Rail,Blue Line,1316782,1316782,19,1758284,1758284,30,399
2018/09/01 04:00:00+00,Bus,Bus,7006441,7006441,19,8712407,8712407,30,400
2021/01/01 05:00:00+00,Rail,Blue Line,400315,400315,19,576132,576132,31,401
2021/01/01 05:00:00+00,Bus,Bus,2638473,2638473,19,3501554,3501554,31,402
2021/01/01 05:00:00+00,Commuter Rail,Commuter Rail,222252,222252,19,255946,255946,31,403
2021/01/01 05:00:00+00,Ferry,Ferry,6264,6264,19,6264,6264,31,404
2021/01/01 05:00:00+00,Rail,Green Line,733702,733702,19,1056887,1056887,31,405
2021/01/01 05:00:00+00,Rail,Orange Line,900334,900334,19,1255781,1255781,31,406
2021/01/01 05:00:00+00,Rail,Red Line,1003252,1003252,19,1392431,1392431,31,407
2021/01/01 05:00:00+00,Bus,Silver Line,240789,240789,19,342824,342824,31,408
2021/01/01 05:00:00+00,The RIDE,The RIDE,39419,39419,19,51681,51681,31,409
2021/02/01 05:00:00+00,Rail,Blue Line,419302,419302,19,552548,552548,28,410
2021/02/01 05:00:00+00,Bus,Bus,2708986,2708986,19,3423185,3423185,28,411
2021/02/01 05:00:00+00,Commuter Rail,Commuter Rail,231936,231936,19,257158,257158,28,412
2021/02/01 05:00:00+00,Ferry,Ferry,4074,4074,19,4074,4074,28,413
2021/02/01 05:00:00+00,Rail,Green Line,814216,814216,19,1092775,1092775,28,414
2021/02/01 05:00:00+00,Rail,Orange Line,949242,949242,19,1214637,1214637,28,415
2021/02/01 05:00:00+00,Rail,Red Line,1054916,1054916,19,1361622,1361622,28,416
2021/02/01 05:00:00+00,Bus,Silver Line,246434,246434,19,328957,328957,28,417
2021/02/01 05:00:00+00,The RIDE,The RIDE,39954,39954,19,48317,48317,28,418
2021/03/01 05:00:00+00,Rail,Blue Line,559731,559731,23,690112,690112,31,419
2021/03/01 05:00:00+00,Bus,Bus,3583104,3583104,23,4260481,4260481,31,420
2021/03/01 05:00:00+00,Commuter Rail,Commuter Rail,311316,311316,23,348892,348892,31,421
2021/03/01 05:00:00+00,Ferry,Ferry,6920,6920,23,6920,6920,31,422
2021/03/01 05:00:00+00,Rail,Green Line,1078637,1078637,23,1326665,1326665,31,423
2021/03/01 05:00:00+00,Rail,Orange Line,1203963,1203963,23,1450143,1450143,31,424
2021/03/01 05:00:00+00,Rail,Red Line,1401101,1401101,23,1703232,1703232,31,425
2021/03/01 05:00:00+00,Bus,Silver Line,328741,328741,23,407218,407218,31,426
2021/03/01 05:00:00+00,The RIDE,The RIDE,54953,54953,23,63048,63048,31,427
2021/04/01 04:00:00+00,Rail,Blue Line,584176,584176,22,732545,732545,30,428
2021/04/01 04:00:00+00,Bus,Bus,3468676,3468676,22,4315451,4315451,30,429
2021/04/01 04:00:00+00,Commuter Rail,Commuter Rail,368443,368443,22,406368,406368,30,430
2021/04/01 04:00:00+00,Ferry,Ferry,8679,8679,22,8679,8679,30,431
2021/04/01 04:00:00+00,Rail,Green Line,1118899,1118899,22,1406004,1406004,30,432
2021/04/01 04:00:00+00,Rail,Orange Line,1251310,1251310,22,1527832,1527832,30,433
